typeinf;stypeinf;nnn;lib_stype;surf;symb_surf;d_symb_surf;lin;symb_lin;d_symb_lin;pt;symb_pct;d_symb_pct;etiquette;classement
12;00;001;Périmètre de sursis à statuer;S;INF-S_12-00_001;Remplissage simple\n• couleur de trait : RVB 0,77,168 (#004da8)\n• largeur de trait : 2.5 pt\n• style de remplissage : pas de remplissage\n• style de trait : ligne continue;;;;;;;12-00_001;symbole
13;00;001;Secteur de programme d'aménagement d'ensemble;S;INF-S_13-00_001;Motif de lignes\n• espacement : 3 pt\n• rotation : 90°\n\n    Ligne simple\n    • couleur : RVB 255,211,127 (#ffd37f)\n    • largeur de trait : 0.8 pt\n    • style de trait : ligne continue\n\nLigne simple\n• couleur : RVB 255,211,127 (#ffd37f)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;13-00_001;symbole
14;00;001;Périmètre de voisinage d'infrastructure de transport terrestre (secteur affecté par le bruit);S;INF-S_14-00_001;Motif de points\n• distance horizontale : 3 pt\n• distance verticale : 3 pt\n\n    Symbole de police\n    • caractère(s) : unicode 108\n    • couleur de remplissage : RVB 255,115,223 (#ff73df)\n    • famille de police : Wingdings\n    • taille : 2 pt\n\nLigne simple\n• couleur : RVB 255,115,223 (#ff73df)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;14-00_001;symbole
16;00;001;Site archéologique [Attention : information facultative non exigée par la loi];S;INF-S_16-00_001;Remplissage simple\n• couleur de remplissage : RVB 215,176,158 (#d7b09e), transparence 40%\n• style de trait : pas de ligne\n\nLigne simple\n• couleur : RVB 137,90,68 (#895a44)\n• largeur de trait : 2 pt\n• style de trait : ligne en tiret;L;INF-L_16-00_001;Ligne de symboles\n• décalage le long de la ligne : 11 pt\n• intervalle : 16 pt\n\n    Symbole de police\n    • caractère(s) : unicode 181\n    • couleur de remplissage : RVB 215,176,158 (#d7b09e)\n    • famille de police : Wingdings\n    • taille : 10 pt\n\nLigne simple\n• couleur : RVB 215,176,158 (#d7b09e)\n• largeur de trait : 1.5 pt\n• modèle de tiret personnalisé (tiret | espace) : 6|10 pt;P;INF-P_16-00_001;Symbole de police\n• caractère(s) : unicode 181\n• couleur de remplissage : RVB 215,176,158 (#d7b09e)\n• famille de police : Wingdings\n• taille : 10 pt;16-00_001;symbole
17;00;001;Zone à risque d'exposition au plomb;S;INF-S_17-00_001;Motif de points\n• décalage horizontal : 25 pt\n• décalage vertical : 35 pt\n• déplacement vertical : 25 pt\n• distance horizontale : 50 pt\n• distance verticale : 50 pt\n\n    Symbole de police\n    • caractère(s) : b (unicode 98)\n    • couleur de remplissage : RVB 52,52,52 (#343434)\n    • décalage (en x, en y) : 4,0 pt\n    • famille de police : Arial\n    • taille : 6 pt\n\n    Symbole de police\n    • caractère(s) : P (unicode 80)\n    • couleur de remplissage : RVB 52,52,52 (#343434)\n    • famille de police : Arial\n    • taille : 6 pt\n\nLigne simple\n• couleur : RVB 52,52,52 (#343434)\n• largeur de trait : 1 pt\n• style de trait : ligne continue;;;;;;;17-00_001;symbole
19;01;001;Zone d'assainissement collectif/non collectif, eaux usées/eaux pluviales, schéma de réseaux eau et assainissement, systèmes d'élimination des déchets;S;INF-S_19-01_001;Motif de points\n• distance horizontale : 6 pt\n• distance verticale : 30 pt\n\n    Symbole de police\n    • caractère(s) : ~ (unicode 126)\n    • couleur de remplissage : RVB 0,115,76 (#00734c)\n    • famille de police : Arial\n    • taille : 12 pt\n\nLigne simple\n• couleur : RVB 0,115,76 (#00734c)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;L;INF-L_19-01_001;Ligne de symboles\n• décalage le long de la ligne : 1 pt\n• intervalle : 16 pt\n\n    Symbole de police\n    • caractère(s) : ~ (unicode 126)\n    • couleur de remplissage : RVB 0,115,76 (#00734c)\n    • décalage (en x, en y) : 0,-3 pt\n    • famille de police : Arial\n    • taille : 22 pt;P;INF-P_19-01_001;Symbole de police\n• caractère(s) : ~ (unicode 126)\n• couleur de remplissage : RVB 0,115,76 (#00734c)\n• décalage (en x, en y) : 0,-3 pt\n• famille de police : Arial\n• taille : 22 pt;19-01 à 02_001;symbole
19;02;001;Emplacements traitement eaux et déchets;S;INF-S_19-02_001;;L;INF-L_19-02_001;;P;INF-P_19-02_001;;19-02_001;sous-code
20;00;001;Règlement local de publicité;S;INF-S_20-00_001;Motif de points\n• déplacement horizontal : 15 pt\n• distance horizontale : 30 pt\n• distance verticale : 30 pt\n\n    Symbole simple\n    • couleur de remplissage : transparent\n    • couleur de trait : RVB 255,85,0 (#ff5500)\n    • largeur de trait : 0.8 pt\n    • nom du symbole : half_square\n    • style de trait : ligne continue\n    • taille : 8 pt\n\nMotif de points\n• déplacement horizontal : 15 pt\n• distance horizontale : 30 pt\n• distance verticale : 30 pt\n\n    Symbole simple\n    • couleur de trait : RVB 255,85,0 (#ff5500)\n    • décalage (en x, en y) : -2,0 pt\n    • largeur de trait : 0.8 pt\n    • nom du symbole : cross2\n    • style de trait : ligne continue\n    • taille : 10 pt\n\nLigne simple\n• couleur : RVB 255,85,0 (#ff5500)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;20-00_001;symbole
21;00;001;Projet de plan de prévention des risques;S;INF-S_21-00_001;Motif de lignes\n• espacement : 10 pt\n• rotation : 100°\n\n    Ligne simple\n    • couleur : RVB 132,0,168 (#8400a8)\n    • largeur de trait : 1 pt\n    • style de trait : ligne continue\n\nLigne simple\n• couleur : RVB 132,0,168 (#8400a8)\n• largeur de trait : 1 pt\n• modèle de tiret personnalisé (tiret | espace) : 3|3 pt;;;;;;;21-00_001;symbole
22;00;001;Protection des rives des plans d'eau en zone de montagne;S;INF-S_22-00_001;Motif de lignes\n• espacement : 10 pt\n• rotation : 100°\n\n    Ligne simple\n    • couleur : RVB 0,77,168 (#004da8)\n    • largeur de trait : 1 pt\n    • style de trait : ligne continue\n\nLigne simple\n• couleur : RVB 0,77,168 (#004da8)\n• largeur de trait : 1 pt\n• modèle de tiret personnalisé (tiret | espace) : 3|3 pt;L;INF-L_22-00_001;Ligne de symboles\n• intervalle : 7 pt\n\nSymbole Police\n• couleur de remplissage : RVB 0,77,168(#004DA8)\n• couleur de contour: RVB 0,77,168(#004DA8)\n• Police : Webdings\n• Unicolde : 48\n• taille : 10 pt\n• taille contour : 0,5 pt;;;;22-00_001;symbole
23;00;001;Arrêté du préfet coordonnateur de massif;S;INF-S_23-00_001;Ligne de symboles\n• décalage le long de la ligne : 4 pt\n• intervalle : 19 pt\n\n    Symbole simple\n    • couleur de remplissage : RVB 0,38,115 (#002673)\n    • nom du symbole : circle\n    • taille : 4 pt\n\nLigne simple\n• couleur : RVB 0,38,115 (#002673)\n• largeur de trait : 1 pt\n• modèle de tiret personnalisé (tiret | espace) : 8|11 pt;;;;;;;23-00_001;symbole
25;00;001;Périmètre de protection des espaces agricoles et naturels périurbain;S;INF-S_25-00_001;Motif de lignes\n• espacement : 10 pt\n• rotation : 100°\n\n    Ligne simple\n    • couleur : RVB 230,230,0 (#e6e600)\n    • largeur de trait : 1 pt\n    • style de trait : ligne continue\n\nLigne simple\n• couleur : RVB 230,230,0 (#e6e600)\n• largeur de trait : 1 pt\n• modèle de tiret personnalisé (tiret | espace) : 3|3 pt;;;;;;;25-00_001;symbole
27;00;001;Plan d'exposition au bruit des aérodromes;S;INF-S_27-00_001;Motif de points\n• décalage horizontal : -11 pt\n• décalage vertical : -11 pt\n• distance horizontale : 30 pt\n• distance verticale : 30 pt\n\n    Symbole de police\n    • caractère(s) : j (unicode 106)\n    • couleur de remplissage : RVB 0,0,0 (#000000)\n    • famille de police : Webdings\n    • taille : 23 pt\n\nLigne simple\n• couleur : RVB 0,0,0 (#000000)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;27-00_001;symbole
30;00;001;Périmètre projet urbain partenarial;S;INF-S_30-00_001;Motif de lignes\n• espacement : 2.4 pt\n• rotation : 45°\n\n    Ligne simple\n    • couleur : RVB 210,4,4 (#d20404), transparence 40%\n    • largeur de trait : 0.8 pt\n    • style de trait : ligne continue\n\nLigne simple\n• couleur : RVB 210,4,4 (#d20404)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;30-00_001;symbole
31;00;001;Périmètres patrimoniaux d’exclusion des matériaux et énergies renouvelables pris par délibération;S;INF-S_31-00_001;Remplissage simple\n• couleur de remplissage : RVB 255,255,255 (#ffffff), transparence 40%\n• couleur de trait : RVB 137,90,68 (#895a44)\n• largeur de trait : 2 pt\n• style de trait : ligne continue;;;;;;;31-00_001;symbole
32;00;001;Secteur de taxe d'aménagement;S;INF-S_32-00_001;Motif de points\n• distance horizontale : 25 pt\n• distance verticale : 25 pt\n\n    Symbole de police\n    • caractère(s) : unicode 176\n    • couleur de remplissage : RVB 255,255,0 (#ffff00)\n    • famille de police : Wingdings 2\n    • taille : 14 pt\n\nLigne simple\n• couleur : RVB 255,255,0 (#ffff00)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;32-00_001;symbole
33;00;001;Droit de préemption commercial. [Attention : information facultative non exigée par la loi];S;INF-S_33-00_001;Ligne de symboles\n• intervalle : 11 pt\n\nSymbole de police\n• caractère(s) : p (unicode 112)\n• couleur de remplissage : RVB 132,0,168 (#8400a8)\n• décalage (en x, en y) : 0,-4 pt\n• famille de police : Wingdings 3\n• rotation : 180°\n• taille : 6 pt\nLigne simple\n\n• couleur : RVB 132,0,168 (#8400a8)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue\nLigne simple\n\n• couleur : RVB 255,255,255 (#ffffff)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue\n• décalage (en x, en y) : 0,-1 pt;;;;;;;33-00_001;symbole
34;00;001;Périmètre d'opération d'intérêt national. [Attention : information facultative non exigée par la loi];S;INF-S_34-00_001;Motif de points\n• décalage horizontal : 9 pt\n• décalage vertical : 14 pt\n• distance horizontale : 30 pt\n• distance verticale : 30 pt\n\n    Symbole de police\n    • caractère(s) : unicode 164\n    • couleur de remplissage : RVB 168,0,132 (#a80084)\n    • famille de police : Wingdings 2\n    • taille : 12 pt\n\nLigne simple\n• couleur : RVB 168,0,132 (#a80084)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;34-00_001;symbole
35;00;001;Périmètre de secteur affecté par un seuil minimal de densité;S;INF-S_35-00_001;Motif de points\n• décalage horizontal : 26 pt\n• décalage vertical : -12 pt\n• distance horizontale : 14 pt\n• distance verticale : 14 pt\n\n    Symbole de police\n    • caractère(s) : unicode 161\n    • couleur de remplissage : RVB 255,122,0 (#ff7a00)\n    • famille de police : Wingdings\n    • taille : 9 pt\n\nLigne simple\n• couleur : RVB 255,122,0 (#ff7a00)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;35-00_001;symbole
36;00;001;Schémas d'aménagement de plage;S;INF-S_36-00_001;Motif de points\n• déplacement horizontal : 1 pt\n• déplacement vertical : 1 pt\n• distance horizontale : 3 pt\n• distance verticale : 3 pt\n\n    Symbole de police\n    • caractère(s) : l (unicode 108)\n    • couleur de remplissage : RVB 204,206,59 (#ccce3b)\n    • famille de police : Wingdings\n    • taille : 2 pt\n\nLigne simple\n• couleur : RVB 204,206,59 (#ccce3b)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;36-00_001;symbole
37;00;001;Bois ou forêts relevant du régime forestier;S;INF-S_37-00_001;Motif de points\n• distance horizontale : 3 pt\n• distance verticale : 3 pt\n\n    Symbole simple\n    • couleur de remplissage : RVB 72,130,15 (#48820f)\n    • nom du symbole : circle\n    • taille : 1.5 pt\n\nLigne simple\n• couleur : RVB 72,130,15 (#48820f)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;37-00_001;symbole
38;00;001;Secteurs d'information sur les sols;S;INF-S_38-00_001;Motif de points\n• déplacement horizontal : 1 pt\n• déplacement vertical : 1 pt\n• distance horizontale : 3 pt\n• distance verticale : 3 pt\n\n    Symbole de police\n    • caractère(s) : l (unicode 108)\n    • couleur de remplissage : RVB 144,112,76 (#90704c)\n    • famille de police : Wingdings\n    • taille : 2 pt\n\nLigne simple\n• couleur : RVB 144,112,76 (#90704c)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;38-00_001;symbole
39;00;001;Périmètres de projets AFUP;S;INF-S_39-00_001;Motif de lignes\n• espacement : 5 pt\n• rotation : 45°\n\n    Ligne simple\n    • couleur : RVB 146,0,214 (#9200d6)\n    • largeur de trait : 0.8 pt\n    • style de trait : ligne continue\n\nLigne simple\n• couleur : RVB 146,0,214 (#9200d6)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;39-00_001;symbole
40;01;001;Périmètre d’un bien inscrit au patrimoine mondial;S;INF-S_40-01_001;Motif de points\n• distance horizontale : 15 pt\n• distance verticale : 15 pt\n\n    Symbole simple\n    • couleur de remplissage : transparent\n    • couleur de trait : RVB 255,196,118 (#ffc476)\n    • largeur de trait : 0.8 pt\n    • nom du symbole : circle\n    • style de trait : ligne continue\n    • taille : 30 pt\n\nLigne simple\n• couleur : RVB 255,196,118 (#ffc476)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;40-01_001;symbole
40;02;001;Zone tampon d’un bien inscrit au patrimoine mondial;S;INF-S_40-02_001;Motif de points\n• distance horizontale : 30 pt\n• distance verticale : 30 pt\n\n    Symbole simple\n    • couleur de remplissage : transparent\n    • couleur de trait : RVB 255,196,147 (#ffc493)\n    • largeur de trait : 0.8 pt\n    • nom du symbole : circle\n    • style de trait : ligne continue\n    • taille : 60 pt\n\nLigne simple\n• couleur : RVB 255,196,147 (#ffc493)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;40-02_001;symbole
41;00;001;Bande de recul le long des axes à grande circulation;S;INF-S_41-00_001;Motif de lignes\n• espacement : 12 pt\n• rotation : -45°\n\n    Ligne simple\n    • couleur : RVB 230,0,0 (#e60000)\n    • largeur de trait : 0.8 pt\n    • style de trait : ligne continue\n\nLigne simple\n• couleur : RVB 230,0,0 (#e60000)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;41-00_001;symbole
42;00;001;Secteurs délimités par délibération de l'autorité compétente en matière d'urbanisme, dans lesquels certaines opérations sont soumises à autorisation d'urbanisme;S;INF-S_42-00_001;Motif de points\n• décalage horizontal : 0 pt\n• décalage vertical : 0 pt\n• distance horizontale : 20pt\n• distance verticale : 20pt\n\n    Symbole de police\n    • caractère(s) : (unicode 46)\n    • couleur de remplissage : RVB 0,0,0 (#000000)\n    • famille de police : Wingdings 2\n    • taille : 10pt\n\nLigne simple\n• couleur : RVB 130,130,130 (#828282)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;42-00_001;symbole
42;01;001;secteur dans lequel les travaux de démolition sont soumis à permis de démolir;S;INF-S_42-01_001;Motif de points\n• décalage horizontal : 10 pt\n• décalage vertical : 0 pt\n• distance horizontale : 20pt\n• distance verticale : 20pt\n\n    Symbole de police\n    • caractère(s) : (unicode 77)\n    • couleur de remplissage : RVB 178,178,178 (#B2B2B2)\n    • famille de police : Wingdings\n    • taille : 10pt\n\nLigne simple\n• couleur : RVB 130,130,130 (#828282)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;42-01_001;symbole
42;02;001;Secteur dans lequel l'édification d'une clôture doit être précédée d'une déclaration préalable;S;INF-S_42-02_001;Motif de points\n• décalage horizontal : 5 pt\n• décalage vertical : 10 pt\n• distance horizontale : 20pt\n• distance verticale : 20pt\n\n    Symbole de police\n    • caractère(s) : (unicode 104)\n    • couleur de remplissage : RVB 178,178,178 (#B2B2B2)\n    • famille de police : Wingdings\n    • taille : 10pt\n\nLigne simple\n• couleur : RVB 130,130,130 (#828282)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;42-02_001;symbole
42;03;001;secteur dans lequel les travaux de ravalement sont soumis à déclaration préalable;S;INF-S_42-03_001;Motif de points\n• décalage horizontal : 15 pt\n• décalage vertical : 10 pt\n• distance horizontale : 20pt\n• distance verticale : 20pt\n\n    Symbole de police\n    • caractère(s) : (unicode 35)\n    • couleur de remplissage : RVB 178,178,178 (#B2B2B2)\n    • famille de police : Wingdings 2\n    • taille : 10pt\n\nLigne simple\n• couleur : RVB 130,130,130 (#828282)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;42-03_001;symbole
43;00;001;Obligation légale de débroussaillement;S;INF-S_43-00_001;**Contour**\nLigne simple\n• couleur : RVB 168,56,0(#A83800)\n• largeur de trait : 1.5 pt\n• style de trait : ligne continue\n\n**Remplissage**\nRemplissage symbole caractère\n• couleur de symbole : RVB 168,56,0(#A83800)\n• nom du symbole : Wingdings 2 (248)\n• taille: 18 pt\n• intervalle X : 52 pt\n• intervalle Y : 52 pt;;;;;;;43-00_001;symbole
97;00;001;Périmètre d’application d’une pièce écrite territorialisée relative aux annexes (liste des annexes, liste des SUP, plan des SUP);S;INF-S_97-00_001;Remplissage simple\n• style de remplissage : pas de remplissage\n• style de trait : pas de ligne;;;;;;;97-00_001;symbole
98;00;001;Périmètre d’annulation partielle du document d’urbanisme (lorsqu’elle impacte le règlement graphique);S;INF-S_98-00_001;Remplissage simple\n• couleur de remplissage : RVB 0,0,0 (#000000);;;;;;;98-00_001;symbole
99;00;001;Autre périmètre, secteur, plan, document, site, projet, espace.;S;INF-S_99-00_001;Remplissage simple\n• couleur de trait : RVB 156,156,156 (#9c9c9c)\n• largeur de trait : 2 pt\n• style de remplissage : pas de remplissage\n• style de trait : ligne continue;L;INF-L_99-00_001;Ligne simple\n• couleur : RVB 156,156,156 (#9c9c9c)\n• largeur de trait : 2 pt\n• style de trait : ligne continue;P;INF-P_99-00_001;Symbole simple\n• couleur de remplissage : RVB 156,156,156 (#9c9c9c)\n• nom du symbole : circle\n• taille : 6 pt;99-00 à 02_001;symbole
99;01;001;autre relevant de la loi littoral;S;INF-S_99-01_001;;L;INF-L_99-01_001;;P;INF-P_99-01_001;;99-01_001;sous-code
99;02;001;autre relevant de la loi montagne;S;INF-S_99-02_001;;L;INF-L_99-02_001;;P;INF-P_99-02_001;;99-02_001;sous-code
